id,age,status,country,created_at
1,82,trial,US,2023-11-16 11:03:11.992909
2,70,free,US,2023-05-18 21:28:11.720416
3,34,free,US,2023-10-29 04:42:30.277635
4,80,free,US,2023-02-10 19:45:49.390098
5,24,free,IF,2023-10-09 09:49:18.806915
6,67,free,US,2023-06-25 04:18:16.56306
7,59,free,US,2023-08-18 06:41:50.752021
8,86,free,BR,2023-11-19 07:38:40.833024
9,42,free,BR,2023-03-15 04:48:51.979314
10,31,free,US,2023-04-18 07:23:44.797474
11,59,free,US,2023-01-27 22:02:14.790906
12,51,free,US,2023-05-25 17:29:31.526298
13,39,free,US,2023-07-19 05:47:51.204219
14,89,free,BR,2023-04-24 10:24:33.435522
15,89,free,BR,2023-10-07 18:44:30.556832
16,68,trial,BR,2023-07-14 22:37:38.20147
17,75,free,US,2023-10-01 03:38:15.196869
18,25,paid,US,2023-11-14 08:20:47.359745
19,85,trial,IF,2023-02-16 17:17:01.707957
20,65,free,BR,2023-06-07 03:45:07.471765
21,97,trial,US,2023-04-30 13:17:23.732523
22,74,free,BR,2023-10-06 20:27:44.282787
23,83,trial,IF,2023-09-25 11:15:22.99132
24,82,free,BR,2023-07-17 02:09:39.544738
25,33,free,FR,2023-04-05 12:03:26.134953
26,38,free,US,2023-04-04 11:57:29.52078
27,30,free,US,2023-01-12 05:39:21.147286
28,27,paid,US,2023-04-09 20:49:35.786076
29,93,free,US,2023-07-06 09:09:36.891294
30,77,free,US,2023-09-14 20:07:26.677594
31,54,paid,BR,2023-01-06 04:55:27.275978
32,22,paid,US,2023-11-26 21:05:59.368322
33,77,trial,US,2023-10-16 11:27:57.797689
34,37,trial,US,2023-03-06 22:30:13.462499
35,72,paid,BR,2023-05-02 22:06:45.30429
36,77,free,US,2023-05-06 18:18:29.379195
37,56,trial,IF,2023-07-17 03:59:01.518183
38,97,trial,US,2023-07-04 11:26:27.362865
39,58,trial,FR,2023-06-04 18:31:38.425966
40,45,trial,US,2023-12-17 11:33:37.813288
41,35,free,US,2023-04-07 18:09:13.702399
42,52,paid,US,2023-12-11 01:28:08.827942
43,45,trial,FR,2023-08-04 07:13:24.398993
44,68,paid,US,2023-11-07 19:08:54.294887
45,94,paid,IF,2023-03-05 17:26:10.850116
46,60,trial,BR,2023-07-15 13:06:02.369728
47,65,paid,IF,2023-07-29 02:00:13.738788
48,68,paid,US,2023-08-27 07:50:11.185492
49,39,free,US,2023-07-10 12:11:32.274628
50,83,free,BR,2023-10-04 07:07:36.373399
51,83,free,IF,2023-05-24 12:14:16.457149
52,96,trial,IF,2023-04-30 22:17:13.248591
53,48,free,BR,2023-12-03 18:09:26.278238
54,33,trial,US,2023-08-21 07:14:01.619417
55,51,free,US,2023-01-29 10:17:35.378821
56,46,free,BR,2023-04-25 22:00:40.941415
57,35,free,US,2023-12-14 15:19:16.401678
58,29,free,US,2023-07-29 20:36:33.343592
59,30,trial,BR,2023-03-16 10:09:34.147416
60,65,free,US,2023-02-22 15:16:57.839781
61,29,free,BR,2023-02-25 17:09:09.896458
62,48,free,US,2023-08-01 04:07:54.622954
63,55,trial,US,2023-08-12 17:20:55.640989
64,32,trial,BR,2023-09-04 10:17:22.337886
65,48,paid,US,2023-05-13 00:10:24.687335
66,61,free,BR,2023-12-08 04:28:10.092081
67,39,free,FR,2023-08-10 22:36:41.080937
68,43,free,US,2023-07-23 22:40:14.350021
69,42,paid,US,2023-02-23 07:35:21.835943
70,31,free,IF,2023-09-25 08:58:35.120991
71,28,free,BR,2023-02-08 05:58:09.308924
72,86,free,BR,2023-03-31 00:06:17.586976
73,22,free,US,2023-11-18 01:49:13.890588
74,31,free,US,2023-11-26 14:00:27.937727
75,70,paid,IF,2023-07-03 13:11:33.469801
76,26,trial,FR,2023-11-27 19:17:05.03876
77,79,trial,IF,2023-02-26 23:11:27.01966
78,79,free,IF,2023-01-21 00:38:29.004335
79,90,paid,US,2023-09-07 09:20:11.9923
80,55,free,US,2023-09-07 07:49:58.35137
81,26,free,IF,2023-09-18 00:59:44.116145
82,48,trial,BR,2023-01-05 22:48:41.78547
83,81,paid,US,2023-10-11 20:35:02.014357
84,71,paid,US,2023-05-29 18:05:27.5089
85,93,free,US,2023-01-20 12:52:59.848857
86,51,free,US,2023-08-20 17:49:06.1392
87,64,free,US,2023-02-25 04:35:35.945908
88,61,free,US,2023-07-26 01:13:44.425375
89,38,free,IF,2023-06-11 21:37:23.556085
90,73,free,BR,2023-06-29 02:13:19.250491
91,66,free,US,2023-07-08 20:46:40.630367
92,76,paid,US,2023-11-24 15:03:26.658796
93,26,paid,US,2023-01-31 06:49:22.157481
94,25,paid,BR,2023-01-26 00:25:01.681339
95,28,free,US,2023-04-11 17:57:24.80841
96,84,free,BR,2023-11-29 17:19:16.313282
97,22,trial,US,2023-10-22 17:58:51.393673
98,76,free,US,2023-07-07 07:24:33.197738
99,40,paid,BR,2023-08-21 11:06:47.54026
100,82,free,FR,2023-06-20 21:42:07.17575
101,20,free,US,2023-07-10 21:13:57.078783
102,54,free,IF,2023-11-21 10:35:03.719712
103,42,free,US,2023-11-25 01:21:24.979857
104,26,paid,IF,2023-04-20 04:16:16.557703
105,74,free,US,2023-12-04 03:43:45.643633
106,84,free,US,2023-06-19 01:23:59.95646
107,95,free,US,2023-07-26 09:02:49.93992
108,27,paid,US,2023-01-24 08:52:35.691781
109,69,free,US,2023-04-12 03:06:27.790557
110,34,free,BR,2023-10-13 00:01:18.101936
111,37,free,BR,2023-02-28 17:54:23.275761
112,91,trial,US,2023-04-09 03:50:38.354649
113,43,trial,US,2023-07-07 04:42:07.895606
114,81,trial,IF,2023-07-21 23:06:47.100995
115,64,free,US,2023-06-28 21:57:23.772177
116,34,trial,BR,2023-01-17 05:42:41.198257
117,91,free,US,2023-09-30 10:38:49.667612
118,51,free,US,2023-08-18 13:51:30.136606
119,56,free,US,2023-10-02 15:16:05.51171
120,45,trial,US,2023-12-04 16:31:35.436242
121,41,free,BR,2023-11-24 12:00:54.561577
122,70,free,BR,2023-09-27 15:07:05.380106
123,20,free,BR,2023-10-31 06:13:39.479032
124,52,free,US,2023-03-14 17:07:47.862809
125,34,free,BR,2023-10-18 23:05:13.286932
126,33,paid,US,2023-12-17 01:45:24.597694
127,47,trial,US,2023-09-25 08:29:17.277417
128,60,paid,BR,2023-06-25 22:59:22.919446
129,51,free,BR,2023-04-24 19:33:23.833855
130,96,free,US,2023-11-26 07:37:08.581552
131,68,paid,BR,2023-07-06 00:42:35.010234
132,32,free,US,2023-11-22 03:29:14.083162
133,87,paid,FR,2023-05-14 10:41:09.629933
134,71,free,BR,2023-03-17 09:38:07.882856
135,50,free,US,2023-07-28 15:16:21.335858
136,78,paid,BR,2023-06-08 17:11:37.07657
137,26,free,US,2023-04-25 17:01:48.763435
138,57,free,BR,2023-05-29 07:44:16.369638
139,94,free,IF,2023-07-12 21:58:31.440184
140,34,paid,US,2023-06-21 10:35:35.483899
141,87,free,US,2023-05-18 01:28:24.532588
142,20,free,US,2023-05-22 03:22:10.394769
143,56,free,BR,2023-12-21 18:43:38.601305
144,95,free,BR,2023-06-03 16:46:44.739391
145,57,trial,US,2023-05-15 17:55:05.785849
146,80,free,IF,2023-08-01 18:51:27.993269
147,82,free,US,2023-12-02 00:54:24.252326
148,46,trial,BR,2023-10-30 19:10:06.347047
149,97,free,BR,2023-08-22 14:26:23.749117
150,21,paid,US,2023-10-30 17:51:23.091313
151,96,trial,BR,2023-07-04 23:52:13.072422
152,89,paid,US,2023-01-18 05:22:53.422949
153,20,trial,US,2023-04-04 19:09:33.54123
154,18,free,IF,2023-05-26 06:32:21.323886
155,59,free,FR,2023-04-20 08:11:49.170722
156,40,free,BR,2023-11-08 18:40:28.679524
157,41,free,US,2023-01-22 15:07:07.768128
